Table of Contents,iii
I,List of Figures
II,List of Tables
III,List of Abbreviations
1,System Overview
2,Electrical Systems
2.1,Shutdown Circuit
2.1.1,Description/concept
2.1.2,Wiring / additional circuitry
2.1.3,Position in car
2.2,IMD
2.2.1,"Description (type, operation parameters)"
2.2.2,Wiring/cables/connectors/
2.2.3,Position in car
2.3,Inertia Switch
2.3.1,"Description (type, operation parameters)"
2.3.2,Wiring/cables/connectors/
2.3.3,Position in car
2.4,Brake Plausibility Device
2.4.1,Description/additional circuitry
2.4.2,Wiring
2.4.3,Position in car/mechanical fastening/mechanical connection
2.5,Reset / Latching for IMD and BMS
2.5.1,Description/circuitry
2.5.2,Wiring/cables/connectors
2.5.3,Position in car
2.6,Shutdown System Interlocks
2.6.1,Description/circuitry
2.6.2,Wiring/cables/connectors
2.6.3,Position in car
2.7,Tractive system active light
2.7.1,Description/circuitry
2.7.2,Wiring/cables/connectors
2.7.3,Position in car
2.8,Measurement points
2.8.1,Description
2.8.2,"Wiring, connectors, cables"
2.8.3,Position in car
2.9,Pre-Charge circuitry
2.9.1,Description
2.9.2,"Wiring, cables, current calculations, connectors"
2.9.3,Position in car
2.1,Discharge circuitry
2.10.1,Description
2.10.2,"Wiring, cables, current calculations, connectors"
2.10.3,Position in car
2.11,HV Disconnect (HVD)
2.11.1,Description
2.11.2,"Wiring, cables, current calculations, connectors"
2.11.3,Position in car
2.12,Ready-To-Drive-Sound (RTDS)
2.12.1,Description
2.12.2,"Wiring, cables, current calculations, connectors"
2.12.3,Position in car
3,Accumulator
3.1,Accumulator pack 1
3.1.1,Overview/description/parameters
3.1.2,Cell description
3.1.3,Cell configuration
3.1.4,Cell temperature monitoring
3.1.5,Battery management system
3.1.6,Accumulator indicator
3.1.7,"Wiring, cables, current calculations, connectors"
3.1.8,Accumulator insulation relays
3.1.9,Fusing
3.1.10,Charging
3.1.11,Mechanical Configuration/materials
3.1.12,Position in car
3.2,Accumulator pack 2
4,Energy meter mounting
4.1,Description
4.2,"Wiring, cables, current calculations, connectors"
4.3,Position in car
5,Motor controller
5.1,Motor controller 1
5.1.1,"Description, type, operation parameters"
5.1.2,"Wiring, cables, current calculations, connectors"
5.1.3,Position in car
5.2,Motor controller 2
6,Motors
6.1,Motor 1
6.1.1,"Description, type, operating parameters"
6.1.2,"Wiring, cables, current calculations, connectors"
6.1.3,Position in car
6.2,Motor 2
7,Torque encoder
7.1,Description/additional circuitry
7.2,Torque Encoder Plausibility Check
7.3,Wiring
7.4,Position in car/mechanical fastening/mechanical connection
8,Additional LV-parts interfering with the tractive system
8.1,LV part 1
8.1.1,Description
8.1.2,"Wiring, cables,"
8.1.3,Position in car
8.2,LV part 2
9,Overall Grounding Concept
9.1,Description of the Grounding Concept
9.2,Grounding Measurements
10,Firewall(s)
10.1,Firewall 1
10.1.1,Description/materials
10.1.2,Position in car
10.2,Firewall 2
11,Appendix
